[##V]_0,[##V]_1,[##V]_2,[AGENCY]_0,[AGENCY]_1,[AGENCY]_2,[CS]_0,[CS]_1,[CS]_2,[UID]_0,[UID]_1,[UID]_2,[YEAR]_0,[YEAR]_1,[YEAR]_2
-1958691398,1458517618,-1650707088,-130197652,577487715,1127977056,-1453777598,1073100722,-1965617532,-1659680610,-2045962112,1307345015,-906421764,-1636090484,1124823813
-1351928441,140621540,-96491340,330253858,1384384241,1339293698,-1681390007,-308511663,1266961917,118110571,661687200,279538286,-2095324881,644303918,-1415102171
-766697931,-369981963,-1272415200,-1611970398,-900568181,-2046661413,1221191499,764376356,-728922298,-82485528,-1453321675,1370525728,1360480764,851916425,673910270
1215773115,1733607701,825940088,1830813533,442124234,221130824,1890686831,-1933264396,1190875939,1232833790,369880367,-649247009,-982142062,1565304063,-117345735
-893327844,-928274671,832462989,-1377111596,1774250558,1494448616,1786630741,-2068631281,-706413448,-1636733781,1871847662,1472252506,1936579381,15712070,43002997
904340935,499226770,-284763289,1417847807,-2031478773,1061191460,326041876,-1880455802,-1780110089,2130740100,49769681,-734413200,-1351037132,1419452982,-807180315
-1961869804,-1839438240,1679746195,-1955891577,-2090920233,-1933518636,-1167029606,1979839108,-1843485392,835436153,1862715936,-1395347055,33089377,240812432,-210899203
1738768737,-1868373051,-112835487,254502898,-1723280051,1986455115,-1411216540,1434881535,173591383,-1275001565,-2128680506,245975439,1265631248,-152107717,-1750501219
622617667,1171909192,-1465419284,-116018846,146437503,-1287251034,-1074192755,281857513,97913107,1349583283,-713885220,-430560520,2038131764,-195857232,935935219
775374900,-356457750,1673207737,-480022195,605373922,-331275798,1046742593,-1105811905,1072703685,-22674000,912972651,2076947744,763725167,1938147554,1944126870
569738262,-863313999,-1282489009,1921263147,289117753,-1288937913,951355046,-1666087443,1741660658,-996268270,689210447,-1820034979,-1093572951,839458365,462236851
-563871322,-2067286248,-448972178,1177645114,-779893373,1999251873,-83083765,-194196216,-1108994473,-607256610,-1471999200,1698959861,838583393,604671556,-365740790
-1492908576,1385466258,1767475164,426136002,-1429512085,1111849316,-1942932863,1219486780,-1077986539,-814430074,-1971658550,-1382629965,727535875,2041249767,1403757586
326409229,-314296544,-423936237,-1729656806,-969994589,1938808611,-1342149317,1824608273,997103642,-1227534474,-2075409128,1236360779,-2102412156,1665859804,-141890716
1850686166,-989251251,-352672433,-1467491790,1316360099,15710836,1026275240,1645678614,244501013,-1740039602,-1317238777,-1041365440,27266753,591751921,-1505679918
-580730064,-93096723,1395367009,929078481,1743367417,285814303,439080007,-1470783325,-759122820,-1160673167,1276955157,607164755,-695770355,-422709340,-623317443
341708194,-2036642882,1077715479,-1011166679,195879455,371549114,550971299,1293617664,567481168,649098920,-1930466173,-1525920622,-1617959965,496866211,-248398557
-1557002434,-1722309790,-2058989950,-1120944076,1275570202,759939223,1767233034,896847438,-997178768,471534321,-751833940,484888669,-767478560,1412076059,-626090668
194859786,1228400682,1112495846,1438537668,731085843,400563522,-667434802,-1624270959,-1241628213,-331224061,-805380566,1137297495,-1430655573,371831799,-174950077
-1395828120,-2092064187,-301101708,-1995679704,1486833847,1200272316,-2033067335,1755747470,-819516094,-1292458069,-867899954,-1053574680,-141705360,-1692960675,1595604254
667099582,-1477878745,-391464942,58493850,-1662884437,-923249263,-1236726006,-1407370532,1929326114,292185991,-365921417,-427764865,-1412853649,741949379,606184075
-1401437024,-1931068920,-1189938646,-570222185,62267796,1622771886,-86417743,-2110188559,18244437,110350776,-1513767038,564700640,-2086957695,-1342662273,-218985081
1326547467,-688693593,-1827295575,-1873252373,1431201610,-1593521609,-323004057,-1561883140,-1538727875,611972762,-86724248,436873452,920948777,-813260564,-1694234331
-979773796,-195551032,-742827068,791530605,-941491798,816403035,1545325633,312827639,-371975910,-1382961678,1575332955,1454181998,1251760716,385268904,1102116432
1585314190,-1537925146,809770283,1071919397,630069051,1207794607,231257262,-1909711244,-979127825,-1785689991,-208379153,-1047717914,-847965365,-490940792,-450000766
-296803407,1576402883,1490884521,1389183247,-1467244523,969838608,-1873733186,1291507489,1556075318,101809779,1475597815,-929800153,-816440305,-596041023,889482938
-1591773193,444069280,-90296541,887782471,-817429482,-2113447840,-2126671222,1859140976,628552745,331801937,407624424,2118245379,1995422863,1471777369,1913426103
