[##V]_0,[##V]_1,[AGENCY]_0,[AGENCY]_1,[CS]_0,[CS]_1,[UID]_0,[UID]_1,[YEAR]_0,[YEAR]_1
1,1,626678921,-1904850223,1606433984,1729567057,-1884214812,229990225,1604942391,749400388
1,1,1389483184,1994633322,-506827061,-1347403335,-1946790406,-2012269655,1050492269,-1274443374
1,1,-1314989488,-1271002801,-370883200,2057852955,1278407480,-987604973,-1387281324,-1789658635
1,1,1190876991,-878817745,111218836,-1893627881,1363614585,1094979709,55067177,1396486648
1,1,718949142,-1135130029,-314932983,397396648,-739457884,1091143978,753292699,1024688967
1,1,-1282650963,-1566425100,1639974618,160112804,2108385846,686607967,1056097713,-1822015238
1,1,713745365,-581779711,-1120534409,-228282760,238137501,-74153258,79671952,2019635558
1,1,-701763632,-122326891,94769628,-1365795320,2033371505,-1734693089,2125094555,1715721489
1,1,1009182626,1867636437,-596771907,1319568949,-764550157,1283690226,580359673,342387994
1,1,-610917772,2143491086,838164676,-1183880766,2138211090,459909710,-1703935324,248892066
1,1,1887698490,-839168989,-1544458064,1400188237,-661809748,993986583,-912438669,440959060
1,1,-911548247,-1258308751,784246459,1145716538,-577192703,-213977701,-1755924851,1214201079
1,1,138539932,429353290,-1055116179,248161617,-279275128,-75183077,-666923564,-1869737430
1,1,1964603664,470534622,726086817,-824152743,-1024045971,-2128092705,1108960699,692306471
1,1,-2287822,-856665318,1621579494,-2071199435,1461351919,-791496975,1567335076,408430202
1,1,-1329939147,-272515150,593653639,-1165726459,426773303,-1124781981,1936957815,2027900549
1,1,243276784,-1392745326,1793262654,316103273,335024955,352690191,-700675781,-1432930920
1,1,1484708963,-981160161,-1670386522,-1466480623,-160235158,1916724621,1039860712,-1888869435
1,1,-1122861348,-55036741,-1027871500,-1250488812,-595886367,-450175241,719871329,-1758800094
1,1,-1337229298,1344993993,675109723,1900961027,1086100013,-1610170782,1734999812,1044128701
1,1,428978390,-925665719,350593074,-1825766979,947808631,-1251518091,-577120964,692134298
1,1,-393988968,-754246887,2005065445,670695742,1751473524,546284408,1709570663,-1262264352
1,1,-717023521,-1876978399,-1410470305,-1762330309,-1688769589,-1525186213,-699964305,-549381343
