Salary_0,Salary_1,YearsExp_0,YearsExp_1,[##V]_0,[##V]_1,[Academia]_0,[Academia]_1,[Degree]_0,[Degree]_1,[Region]_0,[Region]_1
370819136,1815908610,2117587090,-866378278,0,1,836633205,-1345719658,1796237282,-1958860189,-539957079,1204914855
-1069736070,410103198,40747908,-209457869,0,1,505705953,1834144310,-242707962,1543938055,38719496,1488453693
429373167,1972616948,1602214397,-449259171,0,1,-712948474,1780639677,-1845323858,-1048269501,-767219985,787420247
1191818400,-2078797844,1512518959,-6428557,0,1,-896498744,-1538166518,-1816966892,-480148377,-958915095,-1536233173
1582874933,1801222653,-2139625523,-1297160963,0,1,970410122,187017627,1012977544,-1425680535,-1756659394,434643549
1253457111,1113935690,1837885666,-1611015702,0,1,-53930903,1332109449,-794434093,394271951,1347599713,-920842328
-1393798838,-1107990882,-1087240344,1568102359,0,1,508557099,-60840042,1281515831,-1150823391,1553032566,1000275293
-308114477,893996780,-1361982306,-534565159,0,1,2085890382,-443624286,797466323,-929973948,-1118546407,1257444112
161329414,1386017589,1964801463,-1087730984,0,1,-1891700298,1375930011,-1942809593,-2137090641,-1112463192,-1236720110
-2065687408,619002496,-471514922,2076611696,0,1,917552783,-274011300,1159275809,-533476379,758493435,-66029945
1414102709,295471595,-1841179046,-693160659,0,1,756983905,-1117661197,763410505,1739740448,-949986946,-1035767129
-241970190,822690318,1218579133,-463654044,0,1,-971595373,-550339886,1903185043,1708084285,-41073875,-2035302277
-1969104455,-688244327,-1423962971,2012911657,0,1,-354457920,878704501,220959724,-1857510072,-1340064594,-1053796052
1830900791,430173272,-739835827,-1776853199,0,1,-2114230759,-1717013555,1154501883,-551880847,709665493,1422762049
1943430957,-9635472,1011594557,781984095,0,1,-1921997010,-2052467161,-843849315,1828493193,-305887912,-217889759
-122349347,1606605569,-892529322,-890595265,0,1,657618725,-1930259459,770907503,-1904658046,-1543666224,215463245
-1846467555,-567502292,-1662758981,-917382326,0,1,-544114450,-324066730,1745354367,-1114881682,2127716079,1495335301
1830016529,764873441,2076583463,-919483146,0,1,2037896182,-1727659425,-2135270771,757172036,1542807017,1583440409
-1544997159,-586940787,1767834116,208548101,0,1,878474412,-1624534831,889081439,1167701430,1016646592,1368289273
-1273489529,987083184,-1304819445,-489470384,0,1,1735088551,-483706101,-1784561233,948170068,-1470897996,-1266959359
965087697,1667075811,-1094872199,-1158348143,0,1,1659784968,1566776037,-2051823790,2127459648,-587135274,875772251
-244213946,-1957622831,2128969865,-2015469553,0,1,999400519,-116020426,2110767733,-35961982,638403677,-1909639830
-1039412904,-959476991,-1980599128,1397898943,0,1,706327161,1300455472,-897334925,-290306340,-1230085021,-1243757535
845335033,1937695318,-1615412964,-1276662149,0,1,977864014,-330259326,-499182799,-333922267,-1690538323,664016272
1226979333,1174913331,1076727302,1494678269,0,1,1063805274,751717544,-215791430,-525873373,-17054424,2133286833
2126431586,2119309812,1474930116,1926469897,0,1,836468577,-1483198219,-1112915862,-1303358658,594488669,355453922
-1868717171,2097705831,1580900889,587805430,0,1,-1335892633,-749816798,-1175661717,-236661390,-940159150,1511270907
1538482993,1967051556,-1173472446,-1237782596,0,1,1740314280,-192296816,-1763285995,607304879,-369992571,118741898
260030064,1944648422,-918908771,1487758252,0,1,-382255467,-129485467,-459004415,-295217792,-1143682308,301379534
2097124812,-1212154842,1407360233,-484559448,0,1,1640028984,-1611688679,-642279144,916059654,696252505,64017519
2069211887,496897364,730042313,207010914,0,1,557376416,-2122222958,-2016307827,1259886392,-535091789,-260109582
-1992837437,790279603,1712031880,89230556,0,1,-540023846,-1146240824,310807943,212920303,494161244,-1974049978
941749532,1039441791,2031491777,1354995391,0,1,1531067853,-1575822797,-68070632,-899506336,-1211691642,1998257323
-1110234825,1217961486,-843829309,-1080257731,0,1,1652771737,-1467030063,-1626926066,1677062940,-449600416,-1916622838
-1770288949,1931046802,-1577478976,-1311195074,0,1,-1931792413,1848879345,1391037407,-464105120,-1641329416,1344160809
-1829983728,-308425723,1814788762,-284037135,0,1,-1877729997,1521510944,1295885464,-1028151515,-874876167,1813751290
1530567465,1436737652,1170958329,200158346,0,1,861491927,-1162133822,658131228,2023478498,2054323443,-752764605
1340104168,1552599197,-1779259181,-633904361,0,1,-372020229,-439161585,981456621,1492038701,430687303,692809503
-77495003,602174251,1832490440,903263120,0,1,85923874,-1649861635,911311291,1695039050,1526106348,-114398932
108026685,-2086073959,-1351349896,1046395925,0,1,799808088,1435939327,-194309835,150714405,1615694246,-485550221
521112386,1831860165,-788921126,-863486755,0,1,-367850666,548927251,2026250443,1894082844,1994662549,567310158
713096352,177099042,2088247083,258200162,0,1,-1172623710,1118501886,-311320704,1453057130,1399201882,1571765826
-1672468008,-1925528915,-1521670693,-2062724928,0,1,1568880966,1513982551,1189909758,-484062304,648688694,1658326558
792769887,-1962701424,-898958925,-921616702,0,1,251369502,-649037391,868494909,36179434,735317505,-1291539511
1048960317,841490087,-435635817,1926039937,0,1,1143520313,-301547072,1785302896,-2123047599,-298481411,421810337
1783498189,882774926,-2134373913,1292412130,0,1,-1826776472,1208373433,1081979068,-385089980,1917852914,1282746578
-117007333,460934084,-1697137227,438104861,0,1,-2055919552,-1593790620,910384764,-1652792508,859476606,1805264388
1789318143,-1718884678,1003766079,86346611,0,1,444946722,-1617658482,1122172330,-6426630,-650965624,1992836164
-1754593120,1490116673,391945974,-1914676641,0,1,-381129763,7026923,-1971785281,-1544144443,-2129342660,1232276968
-681905367,-1944324936,-2058366172,1432344900,0,1,-1182735546,1571552365,506312204,-2111868878,-1864411606,1663249150
-529995887,453974130,1262967426,-2040058768,0,1,205848038,-475216616,1444500755,-1205059071,1407628100,-1564468882
-675260261,-479556668,848895765,441075311,0,1,1461940027,1821604599,979943945,-708710559,1807518623,-1680566823
-1828984408,7898036,-534531156,366247489,0,1,1691673302,1815008983,299013457,-731516305,359072596,434130148
-876443229,1763145405,1827012280,1171517898,0,1,207003333,-1974632544,-580558337,-952582115,601871872,-664467311
-1616191540,158898385,-1646889328,-616338571,0,1,-509189072,1179904996,-1567139878,-1866179975,-1623533970,1484726862
25562866,629589342,1492726363,-554935976,0,1,873044296,-112078011,1034429845,-750526243,-522940659,-598976936
-387467014,-1765423620,2088002315,-423729248,0,1,1784470526,-1816186804,-487217471,1780338423,864930389,-1196674932
-767079178,1612821947,-1886771405,-88541611,0,1,1005310591,1424394594,-513524072,-689756802,-1655957799,-659123956
-748620030,879145813,779710411,-1064807473,0,1,-1905822277,-1959862235,-1976572727,790206385,-294963853,-1116272800
-1723105574,-1071584958,-816570206,36555229,0,1,1092365353,381370744,-558874771,-1284275492,869316126,2040167703
1043915020,-1330904168,-1975889822,1477821050,0,1,-1908742087,-1542494223,-1489638981,-745399005,1311656791,-1261346097
-1753382438,1496241499,576144396,1819763075,0,1,156545181,-505073375,1093294674,-1095922577,-1808554467,-1374148037
929983544,-301679960,-1499443010,-1084036172,0,1,369246573,2013974620,2022560549,-5443855,-1629139426,-1270136090
89560448,-1278338836,-1885311497,-1960889913,0,1,440714847,-1693964450,1438903238,-300390185,2009961884,-182794174
-387359414,-430498024,-491495748,-1736583121,0,1,-1040235013,-697531635,-466659833,379670523,-2119938693,-235891000
-1192962887,-129349614,-1272535390,-172355660,0,1,-1815597075,934121486,-1127902316,-1764171254,1214676395,1579215056
968138643,243063177,1159430748,-1186514439,0,1,1569635666,1459878629,-677691405,-1465320810,125144780,-920170585
1552633779,655108154,554669367,-1492309405,0,1,1744811606,-962344244,-1037352658,257939480,2081296301,-994586748
1378553433,1431980141,2029407191,72323675,0,1,-920384973,154359718,1541563779,-1297711146,-1468007428,-538214471
-1562744693,1068866507,538203402,1513393098,0,1,903024667,-1068021247,1032095533,1130783314,1858555029,1651323755
-293015021,-1236229409,-990597553,-1034539238,0,1,1821377324,1254031545,-1065619188,-374928871,864057485,-920483764
-1870757550,1012937729,-1756732053,1756254390,0,1,1046128457,2103596745,906835112,1517606376,-1973309622,1585436230
-281337690,1121003290,1212965079,1004217626,0,1,1829052930,-1372669056,-527794273,508738677,1539422761,-1340760717
-775007797,650014876,-1981446419,-565969939,0,1,1443013022,-2010429195,1753974383,1472569174,510822012,1224818070
175860049,2126446886,546968461,808850328,0,1,1842538071,1764834733,-1613381283,1252495914,-442202384,844342413
1618822709,500377903,435712799,-1676273079,0,1,2065288860,-1943411475,591993775,1652537155,-1038314133,1509975401
-2123942254,538027148,-562142952,-1271960968,0,1,1200661106,1561394067,1270896270,221102865,-444125494,445419606
1917062807,-1422480746,-1929100857,684995360,0,1,2068502534,-2101786889,-1764415703,200152503,-198431458,1380902903
169217960,-507192956,92963880,826489774,0,1,-869589628,-1833555337,1837317260,-1335917848,-1256724561,-644716279
687340498,-1578629404,-181038175,1009961667,0,1,-2107636525,-1945132332,2102583697,-1990867375,1639666849,-1074557832
-920990347,-2057068374,1649013428,-1428423422,0,1,673669859,1528376376,-227370790,-51103654,-1156514769,625417646
-396571913,-1784286739,2083793434,-632640572,0,1,369892110,1011543224,-2073242718,1138385223,1482040122,-45850149
-1737992137,-228436353,137636252,-2133155004,0,1,-1840218434,-1663645001,-1780353767,-907858478,1874655946,-227448540
1300732349,372410146,-618080882,-265492827,0,1,-1876773764,162641117,-354828233,1870363458,1317002301,-894677057
279159658,-1417990453,-1214204734,-2027096933,0,1,-612375903,870170504,-2041259854,65640367,-70166929,-1545295354
-2046273116,1202266698,1389971739,710457260,0,1,265489002,-271785940,-409839645,441428454,-1482547511,739065146
-2030801523,235253577,-734557016,1675718500,0,1,1526748386,-1424146357,1232352679,-103900989,-1900156963,-281397290
1736008916,162911789,-1697366200,-1736943462,0,1,313990660,-442014689,930520065,504957927,1738415558,209829604
713223502,1206199610,-1677107457,-1952882038,0,1,327070567,-897429633,-248966789,-113708264,140384765,752077276
1361117419,865695460,-1585083360,963866257,0,1,930205368,995736048,693750600,-1153105417,-458015141,-1095360817
-394101325,-770408952,836980972,265062795,0,1,-83141228,1936079520,-1487752639,2108362800,1783763013,1061593552
545022992,1939352812,1808284172,-791871429,0,1,-1896470402,-819171816,-1818893376,-784755955,-92621558,-409845322
1139044807,-658388842,-1585559354,-690073760,0,1,2045958536,1991986272,125791532,-548577448,-1833962833,43676817
-1349174608,-530020281,1949478069,-522016833,0,1,1371287783,698002625,481202420,-914773909,1623726614,124654684
783743526,657787507,-319673445,327009714,0,1,-1097962250,-425635927,-2122553908,-799290249,-312423117,-83226192
-357579019,-983540427,-1208466677,625103900,0,1,-504013126,588710833,1520153175,907480694,-962787322,77534754
-2131247408,-844935708,534644656,757214251,0,1,687877417,69416000,2060913349,-1034121432,-1686355837,-1992015640
980033291,-233034562,1582736647,1596031776,0,1,898292036,1967342530,1452980105,535389583,340647403,-604531347
-744421702,-1468615814,-2061663329,163210211,0,1,-767156043,1679640380,-1483844098,-755854262,506899194,-1394405951
1249814436,112350653,-1119253566,1479120847,0,1,-670146709,167236817,-1207930628,1516371464,-314012000,-62656788
95778152,-1905609623,-1724817391,-453050300,0,1,1720066299,460637562,-1128852821,-1446246964,1649645989,895394392
-1168224744,-1559235008,392624358,-1091918492,0,1,-1274641611,-246343972,1086345545,-2001329031,-1432521011,-1634073362
-1844021430,807183549,-793637009,238664736,0,1,-2023390329,1532542077,-1345837884,1838621037,2025295128,-293354361
